Customer Satisfaction Score,Response Time,Daily User Logins,Average Session Duration,Survey Response Rate,Transaction Amount,Product Rating,Preferred Communication Channel,Membership Status,Product Category Preference,High-Value Purchase Count,Customer Support Calls,Website Click-Through Rate,Newsletter Open Rate,Social Media Engagement Score,Referral Count,Account Age,Feedback Score,Product Return Rate,Marketing Email Click Rate,Subscription Status,Product Upsell Success,Customer Segment Group,Interest in New Product,Income Level
37,95.07,73,59.87,15.60,15.60,6,Email,Yes,Basic,2.06,96.99,83,21.2,18.18,18,30,52,Yes,29.12,1,1,C,No,High
79,19.97,51,59.24,4.65,60.75,17,Phone,Yes,Gold,80.84,30.46,10,68.4,44.02,12,50,3,No,25.88,1,1,C,No,Low
97,77.51,94,89.48,59.79,92.19,9,SMS,Yes,Platinum,38.87,27.13,83,35.7,28.09,54,14,80,Yes,98.69,1,1,C,No,Low
73,77.13,7,35.85,11.59,86.31,62,Email,Yes,Platinum,32.52,72.96,64,88.7,47.22,12,71,76,No,77.10,0,1,C,No,Low
3,63.64,31,50.86,90.76,24.93,41,Phone,Yes,Platinum,28.98,16.12,93,80.8,63.34,87,80,19,No,53.93,1,0,D,Yes,Medium
43,81.80,86,0.70,51.07,41.74,22,SMS,Yes,Gold,32.32,51.88,70,36.4,97.18,96,25,50,No,28.48,1,1,D,No,High
91,23.96,14,48.95,49.61,50.25,50,Email,Yes,Gold,36.78,63.23,63,53.6,9.03,84,32,19,No,59.09,0,1,B,Yes,Low
17,69.09,39,93.67,49.61,50.25,50,Phone,Yes,Platinum,66.00,81.72,56,53.0,24.19,9,90,90,No,33.90,1,0,C,Yes,Low
64,8.41,16,89.86,60.64,0.92,10,SMS,Yes,Basic,54.87,69.19,65,22.4,71.22,24,33,75,No,84.92,0,1,D,Yes,Medium
24,97.30,39,89.20,49.61,50.25,50,Email,Yes,Gold,72.25,28.08,2,64.5,17.71,94,95,91,No,1.55,1,0,B,Yes,Low
29,38.51,85,31.69,16.95,55.68,94,Email,Yes,Gold,61.50,99.01,14,51.8,87.74,74,70,70,No,29.36,0,0,D,Yes,Low
50,79.83,65,70.20,79.58,89.00,34,Phone,Yes,Gold,3.59,46.56,54,28.7,59.08,3,4,82,No,12.71,1,0,C,No,Low
5,53.14,54,63.74,72.61,97.59,52,SMS,Yes,Basic,43.90,7.85,3,96.3,83.60,70,41,17,No,25.02,0,0,D,Yes,Low
